Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
India,Asia-Pacific,60.3,67,0.63,"$7,159 ",LM,"1,406.60",0.2,0,0.1,0.6,0,0.1,1,0.2,0,19.611.683,26.040.105,50.541.898,342.227.652,-695.400.353,687.072.868,3.031.981.781
Indonesia,Asia-Pacific,69.2,68,0.71,"$12,449 ",LM,279.1,0.5,0,0.1,0.7,0.2,0.1,1.7,0.5,0.1,260.264.262,338.990.503,83.199.367,1.227.370.667,-451.258.577,1.111.516.462,1.367.662.833
"Iran, Islamic Republic of",Middle East/Central Asia,68.6,74,0.77,"$15,702 ",UM,86,0.5,0.1,0,2.4,0.1,0.1,3.2,0.4,0.1,53.259.352,169.577.822,7.197.257,751.314.683,-2.497.334.817,2.151.116.699,4.323.953.163
Iraq,Middle East/Central Asia,62.3,70,0.69,"$10,399 ",LM,42.2,0.5,0,0,1.1,0,0,1.7,0.2,0,34.153.036,1.787.591,33.445.512,314.221.898,-1.412.524.298,1.143.377.449,5.495.308.279
Ireland,EU-27,80.7,82,0.95,"$106,717 ",HI,5,0.9,0.3,0.6,2.5,0.1,0.1,4.5,0.4,0.7,468.889.103,1.379.291.445,103.161.886,3.109.222.875,-1.396.207.197,298.330.302,144.905.343
Israel,Middle East/Central Asia,73.5,83,0.92,"$43,000 ",HI,8.9,0.8,0.3,0.3,2.6,0.1,0.1,4.2,0.1,0,23.786.869,13.742.928,59.185.502,242.110.623,-3.918.772.643,2.755.158.868,1.718.587.651
Italy,EU-27,78.3,83,0.9,"$43,010 ",HI,60.3,0.8,0.3,0.5,2,0.2,0.1,4,0.4,0.1,340.885.413,65.779.728,91.234.352,971.138.877,-2.980.056.989,2.616.312.844,4.068.620.831
Jamaica,Central America/Caribbean,69,71,0.71,"$10,109 ",UM,3,0.5,0.1,0.2,0.8,0.2,0.1,1.7,0.2,0,174.209.502,112.810.554,69.636.626,554.318.453,-1.186.022.004,1.152.378.987,3.139.604.046
Japan,Asia-Pacific,79.6,84,0.93,"$41,809 ",HI,125.6,0.4,0.1,0.2,2.9,0.3,0.1,4,0.1,0,348.004.225,103.747.578,77.815.615,630.109.766,-3.414.165.762,2.677.946.213,6.418.366.678
Jordan,Middle East/Central Asia,69.4,74,0.72,"$10,159 ",UM,10.3,0.4,0.1,0.1,0.6,0,0.1,1.3,0.1,0,15.913.501,1.769.296,104.159.286,214.335.249,-1.089.517.919,86.335.578,6.083.241.904
Kazakhstan,Middle East/Central Asia,71.1,70,0.81,"$26,125 ",UM,19.2,0.6,0.3,0.1,3.3,0,0,4.3,1.9,1.6,20.376.223,4.793.581,25.323.045,382.386.996,-470.322.658,2.843.430.617,112.299.651
Kenya,Africa,61,61,0.58,"$5,192 ",LI,56.2,0.3,0.2,0.2,0.2,0,0,0.9,0.2,0.2,11.073.712,15.018.315,45.167.026,462.795.906,-418.506.561,583.560.785,1.904.300.483
"Korea, Democratic People's Republic of",Asia-Pacific,,73,,,LI,26,0.2,0,0.1,0.8,0,0,1.2,0.2,0,217.929.758,90.722.533,46.666.807,533.428.165,-66.476.965,793.395.326,2.246.221.504
"Korea, Republic of",Asia-Pacific,77.9,84,0.93,"$45,438 ",HI,51.3,0.7,0.2,0.2,4.2,0.5,0.1,5.8,0.1,0,87.249.585,383.578.197,7.026.965,64.688.681,-5.174.542.893,3.854.701.669,8.999.147.325
Kuwait,Middle East/Central Asia,64.5,79,0.83,"$43,613 ",HI,4.4,0.7,0.4,0.1,6.4,0.5,0.5,8.6,0,0,2.696.897,285.763.528,48.770.005,807.349.671,-7.743.805.155,5.662.208.848,1.059.163.722
Kyrgyzstan,Middle East/Central Asia,73.7,72,0.69,"$4,764 ",LI,6.7,0.5,0.2,0,0.6,0,0.1,1.5,0.5,0.5,98.421.885,4.534.529,73.230.364,125.343.204,-256.931.902,1.000.098.378,1.204.982.714
Lao People's Democratic Republic,Asia-Pacific,63.4,68,0.61,"$7,866 ",LM,7.5,0.7,0.2,0.3,0.5,0,0.2,1.9,0.7,0.1,609.881.989,29.401.418,195.268.964,1.641.909.183,-217.734.454,1.231.376.448,1.132.610.534
